1910s;00s	1
1910s;alternative	1
1910s;alternative pop	1
1910s;alternative rock	1
1910s;art rock	1
1910s;bbc introducing	1
1910s;british	1
1910s;british rock	1
1910s;dream pop	1
1910s;ethereal	1
1910s;european	1
1910s;experimental	1
1910s;female	1
1910s;female vocalist	1
1910s;female vocals	1
1910s;garage rock	1
1910s;girl rock	1
1910s;harmonies	1
1910s;indie	1
1910s;indie pop	1
1910s;indie rock	1
1910s;manchester	1
1910s;noise pop	1
1910s;noise rock	1
1910s;pop	1
1910s;psychedelic	1
1910s;rock	1
1910s;shoegaze	1
1910s;wales	1
1910s;welsh	1
1910s;zen	1
1920s;20th century	1
1920s;30s	17
1920s;40s	1
1920s;50s	4
1920s;70s	1
1920s;78rpm	4
1920s;80s	1
1920s;abstract	1
1920s;acoustic	30
1920s;acoustic blues	34
1920s;acoustic guitar	14
1920s;alternative	13
1920s;alternative rock	4
1920s;ambient	1
1920s;america	2
1920s;american	37
1920s;american roots	5
1920s;americana	10
1920s;ballad	3
1920s;banjo	11
1920s;baroque	1
1920s;bass music	1
1920s;beat	1
1920s;beautiful	2
1920s;bebop	5
1920s;big band	21
1920s;black	6
1920s;bluegrass	29
1920s;blues	57
1920s;blues guitar	10
1920s;blues guitarist	1
1920s;blues revival	5
1920s;blues-rock	18
1920s;boogie	1
1920s;boogie-woogie	2
1920s;breakbeat	1
1920s;british	1
1920s;brutal	1
1920s;cabaret	1
1920s;cajun	26
1920s;california	1
1920s;calypso	4
1920s;canada	1
1920s;caribbean	1
1920s;chicago	4
1920s;chicago blues	35
1920s;chill-out	17
1920s;classic	4
1920s;classic blues	30
1920s;classic female blues	6
1920s;classic jazz	10
1920s;classic rock	16
1920s;classical	4
1920s;comedy	5
1920s;composer	3
1920s;contemporary jazz	7
1920s;cool jazz	6
1920s;cosmopolitan	1
1920s;country	41
1920s;country and western	3
1920s;country blues	48
1920s;country folk	1
1920s;country rock	6
1920s;cover	1
1920s;dance	1
1920s;dancehall	1
1920s;delta blues	48
1920s;detroit	2
1920s;disco	2
1920s;discover	1
1920s;dixie	1
1920s;dixieland	25
1920s;dixieland jazz	1
1920s;doo-wop	5
1920s;downbeat	1
1920s;downtempo	1
1920s;drum and bass	1
1920s;dub	1
1920s;early jazz	7
1920s;east coast blues	7
1920s;easy listening	5
1920s;electric blues	7
1920s;electric delta blues	1
1920s;electro	2
1920s;electronic	5
1920s;emo	12
1920s;european	3
1920s;experimental	4
1920s;fat possum	4
1920s;female	2
1920s;female vocalist	5
1920s;female vocals	1
1920s;fiddle	5
1920s;field recording	12
1920s;fingerstyle	4
1920s;florida	5
1920s;folk	51
1920s;folk rock	10
1920s;folk-pop	1
1920s;free jazz	6
1920s;french	1
1920s;funk	12
1920s;funk soul	4
1920s;funny	1
1920s;fusion	4
1920s;game	1
1920s;georgia	3
1920s;germany	2
1920s;gospel	22
1920s;gramophone	3
1920s;guitar	33
1920s;guitar blues	5
1920s;guitar gods	15
1920s;guitar virtuoso	15
1920s;guitarist	4
1920s;gypsy jazz	5
1920s;hard bop	7
1920s;hard rock	3
1920s;hardcore	1
1920s;harmonica	3
1920s;harmonica blues	8
